Num_UPLOAD,UploadedName,Species,Genus,Middle_grouping,Large_grouping
SAMP1,OTU_006_B06-0m_100%,Scomber-colias/Scomber-japonicus,Scomber,Scombrini,Scombrinae
SAMP14,OTU_005_C00-300m_100%,Scomber-colias/Scomber-japonicus,Scomber,Scombrini,Scombrinae
SAMP9,OTU_031_B06-0m_99%,Scomber-colias,Scomber,Scombrini,Scombrinae
SAMP8,OTU_023_B06-0m_99%,Scomber-colias,Scomber,Scombrini,Scombrinae
SAMP10,OTU_391_B06-0m_90%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP15,OTU_021_C00-300m_83%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP5,OTU_118_B06-0m_78%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP16,OTU_085_C00-300m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP13,OTU_003_C00-300m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP20,OTU_741_C00-300m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP6,OTU_324_B06-0m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP17,OTU_004_C00-300m_78%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP11,OTU_040_B06-0m_71%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP3,OTU_007_B06-0m_72%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP2,OTU_321_B06-0m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP12,OTU_157_B06-0m_74%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
SAMP4,OTU_032_B06-0m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
