Num_UPLOAD,UploadedName,Species,Genus,Middle_grouping,Large_grouping
ANON1,OTU_006_B06-0m_100%,Scomber-colias/Scomber-japonicus,Scomber,Scombrini,Scombrinae
ANON14,OTU_005_C00-300m_100%,Scomber-colias/Scomber-japonicus,Scomber,Scombrini,Scombrinae
ANON9,OTU_031_B06-0m_99%,Scomber-colias,Scomber,Scombrini,Scombrinae
ANON8,OTU_023_B06-0m_99%,Scomber-colias,Scomber,Scombrini,Scombrinae
ANON10,OTU_391_B06-0m_90%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON15,OTU_021_C00-300m_83%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON5,OTU_118_B06-0m_78%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON16,OTU_085_C00-300m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON13,OTU_003_C00-300m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON20,OTU_741_C00-300m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON6,OTU_324_B06-0m_77%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON17,OTU_004_C00-300m_78%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON11,OTU_040_B06-0m_71%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON3,OTU_007_B06-0m_72%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON2,OTU_321_B06-0m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON12,OTU_157_B06-0m_74%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
ANON4,OTU_032_B06-0m_75%,Allothunnus-fallai/Auxis-rochei/Auxis-thazard/Euthynnus-affinis/Euthynnus-alletteratus/Euthynnus-lineatus/Katsuwonus-pelamis/Thunnus-alalunga/Thunnus-orientalis/Thunnus-tonggol,Allothunnus/Auxis/Euthynnus/Katsuwonus/Thunnus,Thunnini,Scombrinae
